Category,Post Engagement Rate
travel,5.511811024
travel,2.169014085
travel,5.121428571
travel,0.4111702128
travel,44.30578512
food,1.85443038
food,2.403314917
food,0.8951515152
food,0.8298755187
food,0.5757762698
travel,8.661417323
travel,14.24647887
travel,2.978571429
travel,0.2569148936
travel,2.355371901
food,1.094936709
food,2.701657459
food,29.18909091
food,3.927089508
food,0.5757762698
travel,5.511811024
travel,2.338028169
travel,0.9857142857
travel,0.310106383
travel,7.82231405
food,2.246835443
food,2.629834254
food,0.8757575758
food,4.134558388
food,0.8019740901
beauty,0.717177559
beauty,1.59629844
beauty,0.913823019
beauty,6.57142857
beauty,4.86607143
beauty,3.26785714
beauty,0.0696745562
beauty,0.0460059172
beauty,0.143047337
beauty,3.6444186
beauty,3.65676744
beauty,6.39046512
beauty,782.557692
beauty,14.6153846
beauty,51.1538462