Username,Category,#Followers,#Followees,#Posts
bradley_and_chandler,pet,33024,2972,3375
zazuandfriends,pet,6224,2657,2396
wafflenugget,pet,115904,991,2360
lusty_ash_mjuk,pet,12208,182,2117
macchacat,pet,361398,348,1460
tuxedotrio,pet,57451,461,1431
knoxandbear,pet,89566,7186,1176
kim_demers,pet,16764,667,1049
olivethefancyfrenchie,pet,68361,600,1012
cashythegoldendoodle,pet,25000,7484,875
sheldon_the_doodle,pet,8654,4805,786
wicketthemorkie,pet,51399,1280,774
normanthepomsky,pet,100282,614,771
petraale,pet,1084,359,693
frankyandbrassie,pet,6239,2166,653
fleurcatragdoll,pet,18425,6329,591
marco.gabo,pet,1234,307,506
thesupercollies,pet,121725,288,491
thelifeof.lilo,pet,5399,224,454
amy_simba,pet,55460,190,375
meow.tagram,pet,43708,4250,1588
crazy.aussies,pet,26758,535,698
katieandfrankie,pet,112645,309,686
jimatofu,pet,8449,1118,338
adogandacat,pet,69120,2211,1320